Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"0.855852, 1166.2, 238.847","0.755119, 347.872, 1060.11","336.001, 0.762971, 998.36","0.852158, 998.227, 503.707","0.880072, 1139.55, 412.462","0.765289, 365.528, 1118.94","0.736056, 524.397, 1151.34","0.741275, 412.614, 1183.65","0.568563, 659.82, 1071.86","0.508593, 662.766, 1030.66","0.671677, 915.818, 1071.99",0,"656.859, 0.557032, 1115.86","904.092, 1113.03, 0.644739","0.0782094, 1057.17, 1074.89","0.861138, 1145.47, 218.216","0.17495, 218.273, 1166.08","224.35, 0.877226, 1074.85",0,0,0,0,0,0,0,
"0.899711, 241.867, 1166.13","0.728515, 1060.05, 350.754","0.754649, 1001.3, 338.892","0.867465, 1001.12, 503.766","0.858837, 1139.45, 412.647","0.696285, 1115.98, 365.57","0.525478, 521.494, 1142.49","0.598752, 1177.8, 415.581","0.544897, 662.718, 1071.97","0.486127, 665.684, 1042.35","912.877, 0.653967, 1074.73","0.064462, 1033.6, 1074.89","0.5214, 1113.02, 659.794","0.64994, 1113.05, 906.997","0.0908134, 1074.89, 1054.15","0.891156, 1145.46, 221.13","0.230491, 221.16, 1166.12","0.83716, 1077.75, 230.148",0,0,0,0,0,0,0,
"0.946296, 244.768, 1166.02","0.721544, 350.779, 1054.2","0.780851, 1001.34, 341.812","0.825722, 506.703, 1007.05","0.875495, 412.712, 1142.38","0.663288, 1113.01, 365.419","0.196785, 506.783, 1139.52","0.340615, 1169.01, 421.372","0.537514, 665.671, 1074.8","0.494507, 668.643, 1045.38","0.637764, 1074.83, 907.046",0,"0.503868, 662.749, 1110.12","1112.95, 0.625189, 901.164","0.0778704, 1074.89, 1062.98","0.927681, 221.278, 1142.59","221.285, 0.190716, 1165.96","0.851025, 241.743, 1077.71",0,0,0,0,0,0,0,
"0.937076, 1166.02, 247.669","0.664635, 347.795, 1054.16","0.735765, 341.943, 1013.02","0.785784, 506.859, 1021.74","0.837934, 1145.4, 415.5","0.538418, 1098.32, 359.543","0.169566, 1139.5, 503.827","1168.93, 412.502, 0.307143","0.512239, 668.558, 1077.75","1048.33, 0.477192, 671.534","0.620169, 1089.39, 909.958",0,"0.471049, 1113.01, 665.617","0.535265, 1113.05, 901.121","0.0708436, 1074.89, 1062.99","224.23, 0.919488, 1142.62","224.271, 1165.91, 0.203289","0.886862, 1074.89, 244.619",0,0,0,0,0,0,0,
"0.920074, 1166.02, 247.819","0.714883, 347.787, 1051.26","344.85, 0.766063, 1021.78","0.783419, 1027.72, 509.629","1160.14, 0.818917, 415.467","0.592105, 350.773, 1086.57","1136.56, 0.392001, 503.687","0.410622, 418.504, 1166.12","1080.63, 665.617, 0.516775","0.482653, 1051.24, 668.592","0.640732, 898.208, 1092.35","1048.35, 1074.89, 0.076471","1112.96, 0.473843, 659.766","0.564998, 1116.02, 886.41","0.136397, 1074.87, 1060.04","0.897867, 227.117, 1142.62","0.195747, 1165.91, 230.026","0.895594, 244.707, 1077.7",0,0,0,0,0,0,0,
"0.898058, 250.661, 1166.03","0.702917, 347.791, 1051.28","0.765944, 347.81, 1021.89","0.78876, 509.769, 1045.39","1160.15, 0.813383, 424.276","344.943, 0.593014, 1086.51","0.057846, 489.102, 1116.07","0.0823162, 418.5, 1163.04","0.5214, 665.654, 1083.61","0.483823, 1057.15, 668.615","0.669433, 1092.45, 901.048","1048.22, 0.0670423, 1074.89","0.473049, 662.689, 1110.13","892.306, 0.598153, 1116","0.0971943, 1074.88, 1060.05","0.877862, 1145.43, 227.209","0.137428, 1163.13, 230.088","1080.66, 0.890851, 244.83",0,0,0,0,0,0,0,
"0.887766, 250.774, 1166.03","0.686592, 347.764, 1051.22","0.693049, 1033.58, 356.572","0.765671, 509.781, 1054.23","0.822921, 1165.93, 430.16","0.559801, 1074.77, 342.037","0.145345, 1101.3, 447.85","0.23092, 412.491, 1148.37","0.529299, 662.751, 1086.52","0.522583, 665.712, 1068.82","904.087, 0.684314, 1092.45","1048.3, 1074.89, 0.0534971","0.459209, 1107.12, 659.767","0.55714, 886.478, 1118.84","0.0839399, 1057.13, 1074.88","0.867453, 1145.47, 230.091","232.986, 0.113699, 1163.1","0.892071, 1083.62, 247.613",0,0,0,0,0,0,0,
"256.543, 0.867366, 1166.06","344.82, 0.655264, 1054.19","1048.32, 0.724425, 350.737","0.80087, 515.544, 1068.95","0.791628, 1177.77, 430.135","0.508769, 341.85, 1071.79","0.241805, 1098.32, 453.708","0.473719, 1154.22, 412.475","1080.63, 0.512438, 668.635","0.527166, 1068.81, 671.614","0.644466, 907.106, 1092.38","1048.28, 1074.89, 0.0658385","0.419237, 665.693, 1098.36","0.49191, 1113.05, 901.127","0.0953402, 1074.88, 1062.97","0.850476, 233.001, 1148.35","0.083516, 1163.07, 238.938","0.88216, 1083.65, 247.754",0,0,0,0,0,0,0,
"256.528, 0.865183, 1166.14","0.667061, 1060.09, 342.016","1048.42, 0.716346, 344.97","512.603, 0.776897, 1074.9","0.834757, 433.007, 1183.69","0.52986, 341.84, 1077.69","0.294421, 1115.98, 447.851","0.501535, 412.643, 1157.17","0.517671, 1074.86, 668.54","671.514, 0.510826, 1063.05","0.637968, 1089.45, 898.189","1048.25, 1074.89, 0.0787956","0.43401, 665.636, 1098.3","883.497, 0.523762, 1115.87","0.140958, 1057.1, 1074.87","0.842344, 235.91, 1148.36","0.0916367, 1163.12, 238.953","0.887331, 1086.59, 247.76",0,0,0,0,0,0,0,
"0.859188, 253.68, 1166.16","0.666211, 341.934, 1063","344.921, 1057.16, 0.720687","512.689, 0.773945, 1086.6","0.817908, 427.291, 1189.47","0.48839, 338.98, 1071.82","0.182979, 453.785, 1110.13","0.372782, 1145.4, 418.452","0.521966, 1077.73, 671.521","0.507375, 1065.9, 674.52","904.118, 0.667031, 1083.6","0.0633384, 1074.89, 1036.57","0.445607, 1098.35, 668.616","1112.95, 0.584084, 904.032","0.0894191, 1074.89, 1060.03","0.839273, 235.967, 1148.37","0.0852232, 241.73, 1163.13","0.888228, 1089.47, 247.844",0,0,0,0,0,0,0,
