Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"445.46,123.185,0.867156","466.397,144.071,0.827644","445.458,145.326,0.814703","435.051,193.59,0.84141","428.489,171.429,0.766014","489.83,145.343,0.790527","502.91,204.028,0.883288","483.331,176.649,0.776308","463.702,249.722,0.698632","448.099,247.124,0.658843","449.403,321.498,0.738468","465.095,380.208,0.814241","475.511,252.346,0.682268","472.861,327.992,0.769319","484.64,418.076,0.673667","442.885,119.212,0.829131","451.991,119.178,0.916182","0,0,0","466.338,110.179,0.914443","454.573,431.11,0.723537","462.45,433.711,0.667838","492.438,428.49,0.66854","448.071,401.038,0.87246","446.793,394.569,0.785939","474.133,384.154,0.565268",
"444.216,121.861,0.900318","465.035,147.974,0.859357","442.807,149.242,0.786301","433.765,193.68,0.847018","429.829,172.738,0.798319","488.544,147.941,0.782166","504.183,202.749,0.873743","478.081,172.758,0.722147","463.71,251.023,0.694856","448.078,248.419,0.652581","451.979,320.229,0.741854","465.042,380.204,0.785466","475.544,253.62,0.664336","472.875,320.24,0.705952","475.525,384.145,0.586737","442.816,117.929,0.802605","451.966,116.657,0.881062","0,0,0","466.348,110.148,0.886516","454.584,398.496,0.345675","462.44,401.055,0.34515","484.602,391.986,0.462974","450.655,399.784,0.743241","448.063,393.323,0.686793","472.833,386.729,0.38264",
"444.174,121.856,0.922968","465.038,142.759,0.885456","442.858,144.026,0.801633","435.019,193.644,0.856423","429.788,171.451,0.787134","487.256,142.763,0.820537","504.159,201.474,0.863917","480.714,172.773,0.80239","463.673,247.137,0.71032","446.784,245.859,0.671645","450.709,318.935,0.748615","465.096,380.258,0.804244","475.51,249.717,0.680017","466.373,320.229,0.728615","482.016,412.827,0.648147","442.794,117.897,0.801111","450.688,117.889,0.87267","0,0,0","465.065,108.863,0.937876","453.269,425.92,0.667196","461.137,432.376,0.64167","487.227,423.287,0.688036","446.755,401.038,0.879661","446.761,394.569,0.78253","472.873,386.763,0.505671",
"442.909,120.551,0.967149","464.992,141.446,0.911911","442.841,141.497,0.837175","435.024,193.678,0.849404","429.821,171.444,0.756145","485.958,141.439,0.867678","504.196,196.237,0.848307","481.976,172.75,0.811932","463.69,248.411,0.718256","446.805,245.871,0.681009","453.232,321.529,0.74214","465.099,384.129,0.809617","475.522,251.023,0.691663","465.001,321.512,0.791129","474.14,412.851,0.748197","441.503,115.314,0.791456","446.807,114.046,0.853683","0,0,0","464.984,108.796,0.94155","442.913,427.22,0.719507","453.252,432.372,0.703499","479.382,421.924,0.759909","445.455,399.822,0.837426","445.502,394.61,0.76607","472.881,389.376,0.508614",
"442.849,119.284,0.956988","463.737,140.14,0.916994","442.816,141.444,0.851124","436.357,194.948,0.786245","431.088,172.735,0.80435","484.628,140.059,0.850862","504.137,193.623,0.892559","479.417,172.751,0.82542","463.674,243.223,0.717886","448.07,241.911,0.66202","453.289,317.618,0.715852","464.997,386.73,0.739035","475.5,244.519,0.70639","461.137,318.886,0.714408","463.712,401.095,0.619929","437.661,112.743,0.782162","445.463,111.458,0.895397","0,0,0","462.454,107.502,0.894782","433.765,421.965,0.701797","444.131,423.288,0.678773","468.945,410.209,0.621345","442.888,394.564,0.462283","444.179,392.007,0.463855","474.155,392.005,0.44119",
"441.563,119.171,0.893505","461.138,141.374,0.855812","435.062,142.717,0.762119","435.053,198.837,0.595273","433.746,177.962,0.39103","484.58,140.062,0.842936","504.208,192.314,0.902292","479.421,172.794,0.786834","462.422,243.189,0.715251","446.771,241.887,0.679327","454.602,318.891,0.729156","466.34,389.328,0.576783","474.229,244.477,0.708528","458.522,318.93,0.741203","453.234,397.197,0.650461","435.073,110.18,0.817325","444.199,110.134,0.939228","0,0,0","461.14,107.46,0.870686","424.569,415.46,0.728889","432.453,419.379,0.718521","459.815,405.006,0.594873","423.264,416.758,0.141315","423.354,414.167,0.130467","475.431,393.31,0.536776",
"440.23,119.188,0.872755","459.839,140.137,0.83491","435.018,141.419,0.772309","433.774,198.832,0.593218","441.578,181.835,0.528896","483.335,140.055,0.819483","504.195,192.272,0.87727","476.82,172.778,0.791719","461.115,243.204,0.689504","445.516,241.902,0.671608","453.27,317.614,0.711505","467.658,381.555,0.577875","474.135,244.48,0.6897","455.898,318.902,0.741212","468.947,384.146,0.475775","433.79,111.403,0.804536","444.143,110.161,0.944501","0,0,0","462.39,108.746,0.877852","453.294,394.563,0.435751","461.143,397.188,0.442192","474.195,391.964,0.440017","454.638,393.289,0.319986","454.586,391.947,0.331513","475.52,390.687,0.36553",
"437.637,119.232,0.882636","458.511,138.845,0.835266","433.763,140.076,0.817697","435.008,200.137,0.707682","433.712,179.25,0.610551","482.019,137.496,0.790097","504.201,191.03,0.87763","478.123,172.765,0.806072","461.098,241.915,0.687854","445.497,240.605,0.679915","453.307,314.979,0.719527","468.948,381.562,0.76731","474.138,243.208,0.701545","454.599,317.529,0.821003","442.897,391.98,0.738083","433.731,111.43,0.808664","442.873,111.433,0.935544","0,0,0","457.243,107.47,0.844796","414.177,412.799,0.729023","423.291,412.895,0.716748","446.791,401.107,0.6075","457.229,398.506,0.551344","455.949,393.29,0.521628","475.479,390.634,0.712748",
"435.062,119.255,0.906835","457.234,141.411,0.858461","433.77,141.488,0.788406","432.416,194.912,0.54863","429.789,176.672,0.41147","480.702,140.134,0.834331","504.216,190.978,0.858386","481.981,175.355,0.768294","458.521,241.917,0.690459","445.455,240.612,0.688705","450.678,313.667,0.648947","466.354,381.496,0.76569","472.861,243.198,0.690875","453.271,316.256,0.765294","440.214,391.971,0.653896","432.448,111.446,0.843529","442.805,111.438,0.915317","0,0,0","454.665,108.741,0.903278","410.235,410.197,0.787382","415.451,411.558,0.765742","442.888,402.446,0.650306","453.304,398.484,0.559732","453.304,393.265,0.521044","475.447,390.636,0.70701",
"433.777,120.499,0.934367","454.673,140.159,0.888258","433.719,140.155,0.833902","432.404,200.129,0.262016","0,0,0","476.798,140.177,0.855601","504.15,191.026,0.848225","478.105,175.367,0.72034","455.904,244.474,0.716951","444.159,243.209,0.69683","452.006,312.386,0.686018","466.366,381.555,0.775884","468.958,244.505,0.672187","445.475,316.243,0.735196","433.748,398.494,0.748239","432.387,112.739,0.808296","441.529,112.752,0.865529","0,0,0","454.566,108.754,0.937257","405.025,411.574,0.817436","412.859,412.893,0.820166","441.552,406.326,0.724567","449.389,398.496,0.567656","451.943,392.024,0.550702","475.462,390.652,0.729077",
