Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel,Background
"352.824,95.7416,0.718121","335.859,129.685,0.709867","309.752,129.66,0.634973","325.403,193.609,0.50243","360.648,179.254,0.319219","360.631,129.705,0.685977","0,0,0","0,0,0","329.39,224.952,0.634815","316.258,226.248,0.571093","317.547,305.85,0.757758","308.41,380.247,0.785594","347.626,224.924,0.63908","359.353,299.311,0.800233","351.523,368.449,0.741575","348.923,87.8655,0.815835","356.749,87.949,0.47969","329.388,86.5988,0.590055","0,0,0","361.983,380.192,0.336009","368.464,376.291,0.356061","347.623,372.417,0.66166","312.373,399.756,0.71989","304.553,395.892,0.681214","308.436,384.137,0.582478",
"399.749,119.258,0.127863","432.414,147.968,0.81623","475.547,147.935,0.752126","496.414,234.092,0.681601","472.876,264.085,0.114056","385.44,149.242,0.674932","326.748,193.696,0.857407","313.681,160.975,0.747787","442.835,313.668,0.464056","470.241,312.377,0.409303","485.927,423.27,0.782822","515.986,476.842,0.0549489","414.152,313.674,0.424283","369.749,418.056,0.720892","358.054,476.838,0.0620636","0,0,0","398.474,111.404,0.330106","436.357,101.02,0.148306","408.952,108.735,0.84729","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"389.346,119.225,0.231352","424.607,147.946,0.799102","472.826,150.491,0.757937","495.026,238.003,0.776291","0,0,0","380.243,147.927,0.700983","324.128,202.708,0.789674","324.093,159.694,0.617134","435.025,320.197,0.477074","463.73,320.216,0.47816","475.55,424.604,0.769567","0,0,0","408.944,318.895,0.453361","361.978,418.07,0.709825","357.995,476.838,0.0545681","0,0,0","388.044,110.11,0.481917","427.197,99.7233,0.0977927","401.075,104.901,0.869008","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"380.259,117.93,0.160585","422.031,145.364,0.809313","463.79,150.58,0.817389","482,243.194,0.784776","0,0,0","380.262,142.712,0.763052","324.125,213.157,0.810174","335.851,163.626,0.46296","437.639,308.441,0.463569","463.693,305.855,0.452762","466.39,423.311,0.759276","0,0,0","412.842,308.465,0.463551","360.716,420.658,0.652659","0,0,0","0,0,0","380.265,108.866,0.388924","421.975,99.6814,0.097089","391.927,103.583,0.861397","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"376.293,112.716,0.134727","420.662,141.472,0.758151","453.329,150.575,0.706676","0,0,0","0,0,0","388.044,137.509,0.733307","335.834,213.153,0.810715","348.92,150.55,0.63897","440.27,305.845,0.487381","463.724,303.243,0.475783","461.148,423.287,0.773721","496.287,476.842,0.0718358","415.449,307.128,0.464199","365.878,415.473,0.505355","0,0,0","0,0,0","374.99,108.78,0.316006","414.168,98.3781,0.0574214","386.752,102.265,0.818111","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"371.127,119.209,0.0610501","414.178,140.155,0.726493","440.231,142.717,0.625712","411.548,209.287,0.0678646","0,0,0","391.96,136.216,0.718749","347.613,205.406,0.637958","343.702,179.276,0.0755154","440.228,301.941,0.468171","462.426,299.31,0.444439","462.385,423.277,0.737138","496.354,476.838,0.0665758","416.75,304.532,0.440441","367.195,411.509,0.603062","355.437,476.834,0.119607","0,0,0","371.084,108.762,0.130264","414.151,98.3641,0.102303","384.131,102.262,0.80573","0,0,0","0,0,0","352.815,476.847,0.0530599","0,0,0","0,0,0","0,0,0",
"371.064,120.562,0.379122","414.158,140.13,0.751042","436.322,142.744,0.631037","420.685,214.521,0.114835","0,0,0","391.972,134.899,0.755597","350.157,210.567,0.828763","358.056,157.09,0.235843","441.526,303.243,0.482321","462.406,300.638,0.456668","455.926,423.315,0.76502","0,0,0","420.666,304.536,0.462276","365.879,412.829,0.543357","357.994,476.836,0.0523758","0,0,0","369.809,111.459,0.574531","0,0,0","381.532,103.572,0.880886","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"371.129,121.858,0.509385","415.462,140.099,0.625725","431.083,140.128,0.459059","421.973,218.412,0.138447","380.254,211.889,0.134506","401.07,134.89,0.709347","361.939,202.769,0.864081","355.449,159.698,0.409872","440.252,307.148,0.488763","457.235,305.856,0.437709","462.381,431.076,0.733063","0,0,0","421.965,307.155,0.443834","363.273,415.458,0.529039","356.736,476.836,0.0634023","0,0,0","369.822,115.308,0.671636","0,0,0","381.548,106.209,0.876911","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"372.428,121.893,0.530555","421.983,141.491,0.763114","442.873,150.525,0.707039","431.095,222.333,0.0984135","392.013,213.187,0.0627188","401.067,138.779,0.739554","369.731,201.416,0.82424","339.81,181.881,0.76703","440.25,313.674,0.490938","461.098,312.372,0.438816","467.637,432.435,0.737631","0,0,0","420.657,313.663,0.464","361.94,412.835,0.588702","355.43,476.837,0.0913786","0,0,0","371.088,115.326,0.705608","0,0,0","382.829,106.207,0.853366","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
"0,0,0","397.203,138.816,0.577712","444.164,140.15,0.476171","466.397,226.255,0.59104","0,0,0","351.545,134.893,0.594291","308.432,209.285,0.352808","0,0,0","398.486,324.11,0.359434","427.218,325.409,0.375126","450.68,425.912,0.636872","0,0,0","367.185,318.903,0.341811","343.698,416.744,0.638299","328.001,476.836,0.0925302","0,0,0","0,0,0","419.354,99.6202,0.699446","381.574,90.5856,0.687691","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0","0,0,0",
